-13.371314	-15.210587	-32.155140	-31.101009 -18.418892	-19.101053	-31.273140	-33.123855
-13.371314	-15.210587	-32.155140	-31.101009 -17.425668	-19.030316	-31.934583	-33.737156
-10.311394	-13.663176	-32.155140	-29.630303 -17.127700	-19.009095	-31.980375	-33.221147
-9.393418	-13.198953	-36.246542	-29.889091 -18.438310	-19.002728	-31.994112	-33.066344
-9.393418	-13.198953	-36.246542	-29.889091 -17.431493	-19.000819	-31.998234	-33.019903
-12.618025	-10.259686	-36.246542	-29.889091 -17.129448	-19.000246	-31.299470	-33.005971
-12.618025	-10.259686	-36.246542	-29.889091 -17.038834	-21.800074	-31.089841	-33.001791
-12.618025	-10.259686	-36.246542	-29.889091 -17.011650	-21.940022	-31.726952	-33.000537
-14.285408	-13.577906	-36.246542	-29.889091 -17.003495	-22.682007	-31.218086	-33.000161
-14.785622	-13.873372	-34.673963	-29.266727 -17.001049	-22.904602	-31.765426	-33.000048
-14.785622	-13.873372	-34.673963	-29.266727 -17.000315	-22.971381	-31.229628	-33.000015
-15.635687	-12.562012	-36.302189	-29.266727 -17.700094	-22.991414	-31.068888	-33.000001
-15.635687	-12.562012	-36.302189	-29.266727 -17.210028	-22.997424	-31.020666	-33.000000
-15.635687	-12.562012	-36.302189	-29.266727 -18.463008	-19.499227	-31.006200	-33.000000
-16.590706	-12.168603	-35.390657	-31.880018 -18.041671	-18.134930	-36.601860	-31.600000
-16.590706	-12.168603	-35.390657	-31.880018 -17.312501	-21.540479	-38.980558	-36.080000
-16.590706	-12.168603	-35.390657	-31.880018 -16.393750	-19.062144	-36.894167	-32.524000
-11.277212	-12.050581	-34.417197	-31.264005 -18.218125	-15.518643	-43.268250	-29.357200
-11.277212	-12.050581	-34.417197	-31.264005 -11.765438	-14.455593	-40.294143	-28.407160
-14.583164	-13.415174	-34.417197	-31.264005 -15.429631	-12.736678	-40.788243	-33.022148
-16.274949	-13.824552	-34.825159	-32.479202 -17.228889	-12.221003	-40.236473	-33.006644
-16.274949	-13.824552	-34.825159	-32.479202 -17.068667	-12.066301	-41.470942	-33.001993
-16.782485	-13.947366	-34.825159	-32.479202 -17.020600	-12.019890	-41.141283	-33.000598
-11.334745	-13.984210	-41.947548	-31.443760 -17.006180	-12.005967	-42.442385	-33.000179
-13.200424	-16.095263	-38.484264	-33.233128 -17.701854	-12.001790	-40.732715	-33.000054
