sbid,lamp,time_acq
1,0:0;off,2007-08-27 20:03:18
106,0:0;off,2007-08-27 20:20:48
107,0:0;off,2007-08-27 20:20:58
108,0:0;off,2007-08-27 20:21:08
109,0:0;off,2007-08-27 20:21:18
110,0:0;off,2007-08-27 20:21:28
111,0:0;off,2007-08-27 20:21:38
112,0:0;off,2007-08-27 20:21:48
113,0:0;off,2007-08-27 20:21:58
114,0:0;off,2007-08-27 20:22:08
115,0:0;off,2007-08-27 20:22:18
116,0:0;off,2007-08-27 20:22:28
117,0:0;off,2007-08-27 20:22:38
118,0:0;off,2007-08-27 20:22:48
119,0:0;off,2007-08-27 20:22:58
120,0:0;off,2007-08-27 20:23:08
121,0:0;off,2007-08-27 20:23:18
122,0:0;off,2007-08-27 20:23:28
123,0:0;off,2007-08-27 20:23:38
124,0:0;off,2007-08-27 20:23:48
125,0:0;off,2007-08-27 20:23:58
126,0:0;off,2007-08-27 20:24:08
127,0:0;off,2007-08-27 20:24:18
128,0:0;off,2007-08-27 20:24:28
129,0:0;off,2007-08-27 20:24:38
130,0:0;off,2007-08-27 20:24:48
131,0:0;off,2007-08-27 20:24:58
132,0:0;off,2007-08-27 20:25:08
133,0:0;off,2007-08-27 20:25:18
134,0:0;off,2007-08-27 20:25:28
135,0:0;off,2007-08-27 20:25:38
136,0:0;off,2007-08-27 20:25:48
137,0:0;off,2007-08-27 20:25:58
138,0:0;off,2007-08-27 20:26:08
139,0:0;off,2007-08-27 20:26:18
140,0:0;off,2007-08-27 20:26:28
141,0:0;off,2007-08-27 20:26:38
142,0:0;off,2007-08-27 20:26:48
143,0:0;off,2007-08-27 20:26:58
144,0:0;off,2007-08-27 20:27:08
145,0:0;off,2007-08-27 20:27:18
146,0:0;off,2007-08-27 20:27:28
147,0:0;off,2007-08-27 20:27:38
148,0:0;off,2007-08-27 20:27:48
149,0:0;off,2007-08-27 20:27:58
150,0:0;off,2007-08-27 20:28:08
151,0:0;off,2007-08-27 20:28:18
152,0:0;off,2007-08-27 20:28:28
153,0:0;off,2007-08-27 20:28:38
154,0:0;off,2007-08-27 20:28:48
155,0:0;off,2007-08-27 20:28:58
156,0:0;off,2007-08-27 20:29:08
157,0:0;off,2007-08-27 20:29:18
158,0:0;off,2007-08-27 20:29:28
159,0:0;off,2007-08-27 20:29:38
160,0:0;off,2007-08-27 20:29:48
161,0:0;off,2007-08-27 20:29:58
162,0:0;off,2007-08-27 20:30:08
163,0:0;off,2007-08-27 20:30:18
164,0:0;off,2007-08-27 20:30:28
165,0:0;off,2007-08-27 20:30:38
166,0:0;off,2007-08-27 20:30:48
167,0:0;off,2007-08-27 20:30:58
168,0:0;off,2007-08-27 20:31:08
169,0:0;off,2007-08-27 20:31:18
170,0:0;off,2007-08-27 20:31:28
171,0:0;off,2007-08-27 20:31:38
172,0:0;off,2007-08-27 20:31:48
173,0:0;off,2007-08-27 20:31:58
174,0:0;off,2007-08-27 20:32:08
175,0:0;off,2007-08-27 20:32:18
176,0:0;off,2007-08-27 20:32:28
177,0:0;off,2007-08-27 20:32:38
178,0:0;off,2007-08-27 20:32:48
179,0:0;off,2007-08-27 20:32:58
180,0:1;on,2007-08-27 20:33:08
181,0:1;on,2007-08-27 20:33:18
182,0:0;on,2007-08-27 20:33:28
183,0:0;on,2007-08-27 20:33:38
184,0:0;on,2007-08-27 20:33:48
185,0:0;on,2007-08-27 20:33:58
186,0:0;on,2007-08-27 20:34:08
187,0:0;on,2007-08-27 20:34:18
188,0:0;on,2007-08-27 20:34:29
189,1:0;on,2007-08-27 20:34:39
190,1:0;on,2007-08-27 20:34:49
191,1:0;on,2007-08-27 20:34:59
192,1:0;on,2007-08-27 20:35:09
193,1:0;on,2007-08-27 20:35:19
194,1:0;on,2007-08-27 20:35:29
195,1:0;on,2007-08-27 20:35:39
196,1:0;on,2007-08-27 20:35:49
197,1:0;on,2007-08-27 20:35:59
198,1:0;on,2007-08-27 20:36:09
199,1:0;on,2007-08-27 20:36:19
200,1:0;on,2007-08-27 20:36:29
201,1:0;on,2007-08-27 20:36:39
202,1:0;on,2007-08-27 20:36:50
203,1:0;on,2007-08-27 20:37:00
204,1:0;on,2007-08-27 20:37:10
205,0:0;off,2007-08-27 20:37:20
206,0:0;off,2007-08-27 20:37:30
207,0:0;off,2007-08-27 20:37:40
208,0:0;off,2007-08-27 20:37:50
209,0:0;off,2007-08-27 20:38:00
210,0:0;off,2007-08-27 20:38:10
211,0:0;off,2007-08-27 20:38:20
212,0:0;off,2007-08-27 20:38:30
213,0:0;off,2007-08-27 20:38:40
214,0:0;off,2007-08-27 20:38:50
215,0:0;off,2007-08-27 20:39:00
216,0:0;off,2007-08-27 20:39:10
217,0:0;off,2007-08-27 20:39:20
218,0:0;off,2007-08-27 20:39:30
219,0:0;off,2007-08-27 20:39:40
220,0:0;off,2007-08-27 20:39:50
221,0:0;off,2007-08-27 20:40:00
222,0:0;off,2007-08-27 20:40:10
223,0:0;off,2007-08-27 20:40:20
224,0:0;off,2007-08-27 20:40:30
225,0:0;off,2007-08-27 20:40:40
226,0:0;off,2007-08-27 20:40:50
227,0:0;off,2007-08-27 20:41:00
228,0:0;off,2007-08-27 20:41:10
229,0:0;off,2007-08-27 20:41:20
230,0:0;off,2007-08-27 20:41:30
231,0:0;off,2007-08-27 20:41:40
232,0:0;off,2007-08-27 20:41:50
233,0:0;off,2007-08-27 20:42:00
234,0:0;off,2007-08-27 20:42:10
235,0:0;off,2007-08-27 20:42:20
236,0:0;off,2007-08-27 20:42:30
237,0:0;off,2007-08-27 20:42:40
238,0:0;off,2007-08-27 20:42:50
239,0:0;off,2007-08-27 20:43:00
240,0:0;off,2007-08-27 20:43:10
241,0:0;off,2007-08-27 20:43:20
242,0:0;off,2007-08-27 20:43:30
243,0:0;off,2007-08-27 20:43:40
244,0:0;off,2007-08-27 20:43:50
245,0:0;off,2007-08-27 20:44:00
246,0:0;off,2007-08-27 20:44:10
247,0:0;off,2007-08-27 20:44:20
248,0:0;off,2007-08-27 20:44:30
249,0:0;off,2007-08-27 20:44:40
250,0:0;off,2007-08-27 20:44:50
251,0:0;off,2007-08-27 20:45:00
252,0:0;off,2007-08-27 20:45:10
253,0:0;off,2007-08-27 20:45:20
254,0:0;off,2007-08-27 20:45:30
255,0:0;off,2007-08-27 20:45:40
256,0:0;off,2007-08-27 20:45:50
257,0:0;off,2007-08-27 20:46:00
258,0:0;off,2007-08-27 20:46:10
259,0:0;off,2007-08-27 20:46:20
260,0:0;off,2007-08-27 20:46:30
261,0:0;off,2007-08-27 20:46:40
262,0:0;off,2007-08-27 20:46:50
263,0:0;off,2007-08-27 20:47:00
264,0:0;off,2007-08-27 20:47:10
265,0:0;off,2007-08-27 20:47:20
266,0:0;off,2007-08-27 20:47:30
267,0:0;off,2007-08-27 20:47:40
268,0:0;off,2007-08-27 20:47:50
269,0:0;off,2007-08-27 20:48:00
270,0:0;off,2007-08-27 20:48:10
271,0:0;off,2007-08-27 20:48:20
272,0:0;off,2007-08-27 20:48:30
273,0:1;off,2007-08-27 20:48:40
274,0:0;off,2007-08-27 20:48:50
275,0:0;off,2007-08-27 20:49:00
276,0:1;off,2007-08-27 20:49:10
277,0:0;off,2007-08-27 20:49:20
278,0:0;off,2007-08-27 20:49:30
279,0:0;off,2007-08-27 20:49:40
280,0:0;off,2007-08-27 20:49:50
281,0:0;off,2007-08-27 20:50:00
282,0:0;off,2007-08-27 20:50:10
283,0:0;off,2007-08-27 20:50:20
284,0:0;off,2007-08-27 20:50:30
285,0:0;off,2007-08-27 20:50:40
286,0:0;off,2007-08-27 20:50:50
287,0:0;off,2007-08-27 20:51:00
288,0:0;off,2007-08-27 20:51:10
289,0:0;off,2007-08-27 20:51:20
290,0:0;off,2007-08-27 20:51:30
291,0:0;off,2007-08-27 20:51:40
292,0:0;off,2007-08-27 20:51:50
293,0:0;off,2007-08-27 20:52:00
294,0:0;off,2007-08-27 20:52:10
295,0:0;off,2007-08-27 20:52:20
296,0:0;off,2007-08-27 20:52:30
297,0:0;off,2007-08-27 20:52:40
298,0:0;off,2007-08-27 20:52:50
299,0:0;off,2007-08-27 20:53:00
300,0:0;off,2007-08-27 20:53:10
301,0:0;off,2007-08-27 20:53:20
302,0:0;off,2007-08-27 20:53:30
303,0:0;off,2007-08-27 20:53:40
304,0:0;off,2007-08-27 20:53:50
305,0:0;off,2007-08-27 20:54:00
306,0:0;off,2007-08-27 20:54:10
307,0:0;off,2007-08-27 20:54:20
308,0:0;off,2007-08-27 20:54:30
309,0:0;off,2007-08-27 20:54:40
310,0:0;off,2007-08-27 20:54:50
311,0:0;off,2007-08-27 20:55:00
312,0:0;off,2007-08-27 20:55:10
313,0:0;off,2007-08-27 20:55:20
314,0:0;off,2007-08-27 20:55:30
315,0:0;off,2007-08-27 20:55:40
316,0:1;on,2007-08-27 20:55:50
317,0:1;on,2007-08-27 20:56:00
318,0:1;on,2007-08-27 20:56:10
319,0:1;on,2007-08-27 20:56:20
320,0:1;on,2007-08-27 20:56:30
321,0:1;on,2007-08-27 20:56:40
322,0:1;on,2007-08-27 20:56:50
323,0:0;off,2007-08-27 20:57:00
324,0:0;off,2007-08-27 20:57:10
325,0:0;off,2007-08-27 20:57:20
326,0:0;off,2007-08-27 20:57:30
327,0:0;off,2007-08-27 20:57:40
328,0:0;off,2007-08-27 20:57:50
329,0:1;off,2007-08-27 21:02:47
330,0:1;off,2007-08-27 21:02:58
331,0:0;off,2007-08-27 21:03:08
332,0:0;off,2007-08-27 21:03:18
333,0:0;off,2007-08-27 21:03:28
334,0:0;off,2007-08-27 21:03:38
335,0:0;off,2007-08-27 21:03:48
336,0:0;off,2007-08-27 21:03:58
337,0:0;off,2007-08-27 21:04:08
338,0:0;off,2007-08-27 21:04:18
339,0:0;off,2007-08-27 21:04:28
340,0:0;off,2007-08-27 21:04:38
341,0:0;off,2007-08-27 21:04:48
342,0:0;off,2007-08-27 21:04:58
343,0:0;off,2007-08-27 21:05:08
344,0:0;off,2007-08-27 21:05:18
345,0:0;off,2007-08-27 21:05:28
346,0:0;off,2007-08-27 21:05:38
347,0:0;off,2007-08-27 21:05:48
348,0:0;off,2007-08-27 21:05:58
349,0:0;off,2007-08-27 21:06:08
350,0:0;off,2007-08-27 21:06:18
351,0:1;off,2007-08-27 21:06:28
352,0:1;off,2007-08-27 21:06:38
353,0:1;off,2007-08-27 21:06:48
354,0:1;off,2007-08-27 21:06:58
355,0:1;off,2007-08-27 21:07:08
356,0:0;off,2007-08-27 21:07:18
357,0:0;off,2007-08-27 21:07:28
358,0:0;off,2007-08-27 21:07:38
359,0:0;off,2007-08-27 21:07:48
360,0:0;off,2007-08-27 21:07:58
361,0:0;off,2007-08-27 21:08:08
362,0:0;off,2007-08-27 21:08:18
363,0:0;off,2007-08-27 21:08:28
364,0:0;off,2007-08-27 21:08:38
365,0:0;off,2007-08-27 21:08:48
366,0:0;off,2007-08-27 21:08:58
367,0:0;off,2007-08-27 21:09:08
368,0:0;off,2007-08-27 21:09:18
369,0:0;off,2007-08-27 21:09:28
370,0:0;off,2007-08-27 21:09:38
371,0:0;off,2007-08-27 21:09:48
372,0:0;off,2007-08-27 21:09:58
373,0:0;off,2007-08-27 21:10:08
374,0:0;off,2007-08-27 21:10:18
375,0:0;off,2007-08-27 21:10:28
376,0:0;off,2007-08-27 21:10:38
377,0:0;off,2007-08-27 21:10:48
378,0:0;off,2007-08-27 21:10:58
379,0:0;off,2007-08-27 21:11:08
380,0:0;off,2007-08-27 21:11:18
381,0:0;off,2007-08-27 21:11:28
382,0:0;off,2007-08-27 21:11:38
383,0:0;off,2007-08-27 21:11:48
384,0:0;off,2007-08-27 21:11:58
385,0:0;off,2007-08-27 21:12:08
386,0:0;off,2007-08-27 21:12:18
387,0:0;off,2007-08-27 21:12:28
388,0:0;off,2007-08-27 21:12:38
389,0:0;off,2007-08-27 21:12:48
390,0:0;off,2007-08-27 21:12:58
391,1:1;off,2007-08-27 21:13:08
392,1:1;on,2007-08-27 21:13:18
393,1:1;on,2007-08-27 21:13:28
394,1:1;on,2007-08-27 21:13:38
395,1:1;on,2007-08-27 21:13:48
396,1:1;on,2007-08-27 21:13:58
397,1:1;on,2007-08-27 21:14:08
398,1:1;on,2007-08-27 21:14:18
399,1:1;on,2007-08-27 21:14:28
400,1:1;on,2007-08-27 21:14:38
401,1:1;on,2007-08-27 21:14:48
402,1:1;on,2007-08-27 21:14:58
403,1:0;on,2007-08-27 21:15:08
404,1:0;on,2007-08-27 21:15:18
405,1:0;on,2007-08-27 21:15:28
406,1:1;on,2007-08-27 21:15:38
407,1:1;on,2007-08-27 21:15:48
408,1:1;on,2007-08-27 21:15:58
409,1:1;on,2007-08-27 21:16:08
410,1:1;on,2007-08-27 21:16:18
411,1:1;on,2007-08-27 21:16:28
412,1:1;on,2007-08-27 21:16:38
413,1:1;on,2007-08-27 21:16:48
414,0:1;on,2007-08-27 21:16:58
415,0:1;on,2007-08-27 21:17:08
416,1:1;on,2007-08-27 21:17:18
417,1:1;on,2007-08-27 21:17:28
418,1:1;on,2007-08-27 21:17:38
419,1:1;on,2007-08-27 21:17:48
420,1:1;on,2007-08-27 21:17:58
421,1:1;on,2007-08-27 21:18:08
422,1:1;on,2007-08-27 21:18:18
423,1:1;on,2007-08-27 21:18:28
424,1:1;on,2007-08-27 21:18:38
425,1:1;on,2007-08-27 21:18:48
426,1:1;on,2007-08-27 21:18:58
427,1:1;on,2007-08-27 21:19:08
428,1:1;on,2007-08-27 21:19:18
429,0:1;on,2007-08-27 21:19:28
430,0:1;on,2007-08-27 21:19:38
431,0:1;on,2007-08-27 21:19:48
432,0:1;on,2007-08-27 21:19:58
433,0:1;on,2007-08-27 21:20:08
434,0:1;on,2007-08-27 21:20:18
435,0:1;on,2007-08-27 21:20:28
436,0:1;on,2007-08-27 21:20:38
437,0:1;on,2007-08-27 21:20:48
438,0:1;on,2007-08-27 21:20:58
439,0:1;off,2007-08-27 21:21:08
440,0:0;off,2007-08-27 21:21:18
441,0:0;off,2007-08-27 21:21:28
442,0:0;off,2007-08-27 21:21:38
443,0:0;off,2007-08-27 21:21:48
444,0:0;off,2007-08-27 21:21:58
445,0:0;off,2007-08-27 21:22:08
446,0:0;off,2007-08-27 21:22:18
447,0:0;off,2007-08-27 21:22:28
448,0:0;off,2007-08-27 21:22:38
449,0:0;off,2007-08-27 21:22:48
450,0:0;off,2007-08-27 21:22:58
451,0:0;off,2007-08-27 21:23:08
452,0:0;off,2007-08-27 21:23:18
453,0:0;off,2007-08-27 21:23:28
454,0:0;off,2007-08-27 21:23:38
455,0:0;off,2007-08-27 21:23:48
456,0:0;off,2007-08-27 21:23:58
457,0:0;off,2007-08-27 21:24:08
458,0:0;off,2007-08-27 21:24:18
459,0:0;off,2007-08-27 21:24:28
460,0:0;off,2007-08-27 21:24:38
461,0:0;off,2007-08-27 21:24:48
462,0:0;off,2007-08-27 21:24:58
463,0:0;off,2007-08-27 21:25:08
464,0:0;off,2007-08-27 21:25:18
465,0:0;off,2007-08-27 21:25:28
466,0:0;off,2007-08-27 21:25:38
467,0:0;off,2007-08-27 21:25:48
468,0:0;off,2007-08-27 21:25:58
469,0:0;off,2007-08-27 21:26:08
470,0:1;off,2007-08-27 21:26:18
471,0:1;on,2007-08-27 21:26:28
472,1:1;on,2007-08-27 21:26:38
473,1:1;on,2007-08-27 21:26:48
474,1:1;on,2007-08-27 21:26:58
475,1:1;off,2007-08-27 21:27:08
476,1:1;on,2007-08-27 21:27:18
477,1:1;on,2007-08-27 21:27:28
478,1:1;on,2007-08-27 21:27:38
479,0:1;on,2007-08-27 21:27:48
480,0:1;on,2007-08-27 21:27:58
481,0:1;on,2007-08-27 21:28:08
482,0:1;on,2007-08-27 21:28:18
483,1:1;on,2007-08-27 21:28:28
484,1:1;on,2007-08-27 21:28:38
485,1:1;on,2007-08-27 21:28:48
486,1:1;on,2007-08-27 21:28:58
487,1:1;on,2007-08-27 21:29:08
488,0:1;on,2007-08-27 21:29:18
489,0:1;on,2007-08-27 21:29:28
490,0:1;on,2007-08-27 21:29:38
491,0:0;off,2007-08-27 21:29:48
492,0:0;off,2007-08-27 21:29:58
493,0:0;off,2007-08-27 21:30:08
494,0:0;off,2007-08-27 21:30:18
495,0:0;off,2007-08-27 21:30:28
496,0:0;off,2007-08-27 21:30:38
497,0:0;off,2007-08-27 21:30:48
