sbid,lamp,time_acq
1,0:0;off,2007-08-27 20:03:18
2,0:0;off,2007-08-27 20:03:28
3,0:0;off,2007-08-27 20:03:38
4,0:0;off,2007-08-27 20:03:48
5,0:0;off,2007-08-27 20:03:58
6,0:0;off,2007-08-27 20:04:08
7,0:0;off,2007-08-27 20:04:18
8,0:0;off,2007-08-27 20:04:28
9,0:0;off,2007-08-27 20:04:38
10,0:0;off,2007-08-27 20:04:48
11,0:0;off,2007-08-27 20:04:58
12,0:0;off,2007-08-27 20:05:08
13,0:0;off,2007-08-27 20:05:18
14,0:0;off,2007-08-27 20:05:28
15,0:0;off,2007-08-27 20:05:38
16,0:1;on,2007-08-27 20:05:48
17,0:1;on,2007-08-27 20:05:58
18,0:1;on,2007-08-27 20:06:08
19,0:1;on,2007-08-27 20:06:18
20,0:1;on,2007-08-27 20:06:28
21,0:1;on,2007-08-27 20:06:38
22,0:1;on,2007-08-27 20:06:48
23,0:1;on,2007-08-27 20:06:58
24,0:1;on,2007-08-27 20:07:08
25,1:1;on,2007-08-27 20:07:18
26,1:1;on,2007-08-27 20:07:28
27,1:1;on,2007-08-27 20:07:38
28,1:1;on,2007-08-27 20:07:48
29,1:1;on,2007-08-27 20:07:58
30,1:1;on,2007-08-27 20:08:08
31,1:1;on,2007-08-27 20:08:18
32,0:1;on,2007-08-27 20:08:28
33,0:1;on,2007-08-27 20:08:38
34,0:1;on,2007-08-27 20:08:48
35,0:1;on,2007-08-27 20:08:58
36,0:0;on,2007-08-27 20:09:08
37,0:0;on,2007-08-27 20:09:18
38,0:0;on,2007-08-27 20:09:28
39,0:0;on,2007-08-27 20:09:38
40,0:0;on,2007-08-27 20:09:48
41,0:0;on,2007-08-27 20:09:58
42,0:0;on,2007-08-27 20:10:08
43,0:0;on,2007-08-27 20:10:18
44,0:0;on,2007-08-27 20:10:28
45,0:0;on,2007-08-27 20:10:38
46,0:0;on,2007-08-27 20:10:48
47,0:0;on,2007-08-27 20:10:58
48,0:0;on,2007-08-27 20:11:08
49,0:0;on,2007-08-27 20:11:18
50,0:0;on,2007-08-27 20:11:28
51,0:0;on,2007-08-27 20:11:38
52,0:0;on,2007-08-27 20:11:48
53,0:0;on,2007-08-27 20:11:58
54,0:0;on,2007-08-27 20:12:08
55,0:0;on,2007-08-27 20:12:18
56,0:0;on,2007-08-27 20:12:28
57,0:0;on,2007-08-27 20:12:38
58,0:0;on,2007-08-27 20:12:48
59,0:0;on,2007-08-27 20:12:58
60,0:0;on,2007-08-27 20:13:08
61,0:0;on,2007-08-27 20:13:18
62,0:0;on,2007-08-27 20:13:28
63,0:0;on,2007-08-27 20:13:38
64,0:0;on,2007-08-27 20:13:48
65,0:0;on,2007-08-27 20:13:58
66,0:0;on,2007-08-27 20:14:08
67,0:0;on,2007-08-27 20:14:18
68,0:0;on,2007-08-27 20:14:28
69,0:0;on,2007-08-27 20:14:38
70,0:0;on,2007-08-27 20:14:48
71,0:0;on,2007-08-27 20:14:58
72,0:0;on,2007-08-27 20:15:08
73,0:0;on,2007-08-27 20:15:18
74,0:0;on,2007-08-27 20:15:28
75,0:0;on,2007-08-27 20:15:38
76,0:0;on,2007-08-27 20:15:48
77,0:0;on,2007-08-27 20:15:58
78,0:0;on,2007-08-27 20:16:08
79,0:0;on,2007-08-27 20:16:18
80,0:0;on,2007-08-27 20:16:28
81,0:0;on,2007-08-27 20:16:38
82,0:0;on,2007-08-27 20:16:48
83,0:0;on,2007-08-27 20:16:58
84,0:0;on,2007-08-27 20:17:08
85,0:0;on,2007-08-27 20:17:18
86,0:1;on,2007-08-27 20:17:28
87,0:1;on,2007-08-27 20:17:38
88,0:1;on,2007-08-27 20:17:48
89,0:1;on,2007-08-27 20:17:58
90,0:1;on,2007-08-27 20:18:08
91,0:1;on,2007-08-27 20:18:18
92,0:1;on,2007-08-27 20:18:28
93,0:1;on,2007-08-27 20:18:38
94,0:1;on,2007-08-27 20:18:48
95,0:1;on,2007-08-27 20:18:58
96,0:1;on,2007-08-27 20:19:08
97,0:1;on,2007-08-27 20:19:18
98,0:1;on,2007-08-27 20:19:28
99,0:1;on,2007-08-27 20:19:38
100,0:1;on,2007-08-27 20:19:48
101,0:1;on,2007-08-27 20:19:58
102,0:1;on,2007-08-27 20:20:08
103,0:1;on,2007-08-27 20:20:18
104,0:1;on,2007-08-27 20:20:28
105,0:1;on,2007-08-27 20:20:38
