2007-08-27 20:03:28,2:1:0:0,1:1:0:0
2007-08-27 20:03:38,2:1:0:0,1:1:0:0
2007-08-27 20:03:48,2:1:0:0,1:1:0:0
2007-08-27 20:03:58,2:1:0:0,1:1:0:0
2007-08-27 20:04:08,2:1:0:0,1:1:0:0
2007-08-27 20:04:18,2:1:0:0,1:1:0:0
2007-08-27 20:04:28,2:1:0:0,1:1:0:0
2007-08-27 20:04:38,2:1:0:0,1:1:0:0
2007-08-27 20:04:48,2:1:0:0,1:1:0:0
2007-08-27 20:04:58,2:1:0:0,1:1:0:0
2007-08-27 20:05:08,2:1:0:0,1:1:0:0
2007-08-27 20:05:18,2:1:0:0,1:1:0:0
2007-08-27 20:05:28,2:1:0:0,1:1:0:0
2007-08-27 20:05:38,2:1:0:0,0:0:0:0
2007-08-27 20:05:48,2:1:0:0,0:0:0:1
2007-08-27 20:05:58,2:1:0:0,0:0:0:1
2007-08-27 20:06:08,2:1:0:0,0:0:0:1
2007-08-27 20:06:18,2:1:0:0,0:0:0:1
2007-08-27 20:06:28,2:1:0:0,0:0:0:1
2007-08-27 20:06:38,2:1:0:0,0:0:0:1
2007-08-27 20:06:48,0:0:0:0,0:0:0:1
2007-08-27 20:06:58,0:0:0:0,0:0:0:1
2007-08-27 20:07:08,0:0:0:0,0:0:0:1
2007-08-27 20:07:18,0:0:0:1,0:0:0:1
2007-08-27 20:07:28,0:0:0:1,0:0:0:1
2007-08-27 20:07:38,0:0:0:1,0:0:0:1
2007-08-27 20:07:48,0:0:0:1,0:0:0:1
2007-08-27 20:07:58,0:0:0:1,0:0:0:1
2007-08-27 20:08:08,0:0:0:1,0:0:0:1
2007-08-27 20:08:18,0:0:0:1,0:0:0:1
2007-08-27 20:08:28,2:1:0:0,0:0:0:1
2007-08-27 20:08:38,2:1:0:0,0:0:0:1
2007-08-27 20:08:48,2:1:0:0,0:0:0:1
2007-08-27 20:08:58,2:1:0:0,0:0:0:1
2007-08-27 20:09:08,2:1:0:0,0:0:0:0
